REFERENCE POOL ID,LOAN ID,ltv,ltv_95,NUMBER OF BORROWERS,cnt_borr_1,cnt_borr_2,dti,fico,fico_640,FIRST TIME HOME BUYER INDICATOR,flag_fthb_y,LOAN PURPOSE,loan_purpose_p,PROPERTY TYPE,prop_type_SF,prop_type_CO,NUMBER OF UNITS,numunt_2,OCCUPANCY TYPE,occpy_sts_i,occpy_sts_s,ORIGINATION CHANNEL,channel_C,New_Int_rt,ORIGINAL UPB,rel_median_orig_UPB,rel_orig_upb_2,Act_endg_upb,st,change_unemp,relative_unem,,,,,,,,
5083,91182201,80,0,2,0,1,32.52,766,126,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.375,69000,31.08108108,0,69000,IL,0.01,0.02,,,,,,,,
5083,91182202,68,0,1,1,0,27.96,758,118,N,0,NO CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,B,0,4.25,102000,45.94594595,0,101000,ID,0.01,0.02,,,,,,,,
5083,91182203,80,0,2,0,1,36.97,788,148,N,0,PURCHASE,1,PUD,0,0,1,0,Principal,0,0,R,0,4.25,404000,181.981982,0,402000,NC,0.01,0.02,,,,,,,,
5083,91182204,80,0,1,1,0,46.18,781,141,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.75,100000,45.04504505,0,99000,IL,0.01,0.02,,,,,,,,
5083,91182205,67,0,2,0,1,38.13,635,0,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,4.875,250000,112.6126126,0,248000,CO,0.01,0.02,,,,,,,,
5083,91182206,80,0,2,0,1,46.8,684,44,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.75,308000,138.7387387,0,306000,NJ,0.01,0.02,,,,,,,,
5083,91182207,80,0,2,0,1,26.56,716,76,N,0,NO CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,3.875,615000,277.027027,77.02702703,612000,CA,0.01,0.02,,,,,,,,
5083,91182208,80,0,1,1,0,47.46,795,155,N,0,PURCHASE,1,SF,1,0,1,0,Investor,1,0,C,1,4.75,92000,41.44144144,0,91000,GA,0.01,0.02,,,,,,,,
5083,91182209,75,0,2,0,1,48.04,705,65,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,4.875,190000,85.58558559,0,188344.57,WA,0.01,0.02,,,,,,,,
5083,91182210,64,0,2,0,1,39.79,787,147,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,4.125,303000,136.4864865,0,301000,CA,0.01,0.02,,,,,,,,
5083,91182211,76,0,2,0,1,45.37,696,56,N,0,CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,R,0,5.25,228000,102.7027027,0,227000,OR,0.01,0.02,,,,,,,,
5083,91182212,80,0,2,0,1,48.79,768,128,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.5,202000,90.99099099,0,201000,LA,0.01,0.02,,,,,,,,
5083,91182213,69,0,2,0,1,27.01,708,68,N,0,CASH-OUT REFINANCE,0,PUD,0,0,1,0,Principal,0,0,R,0,4.5,385000,173.4234234,0,383000,FL,0.01,0.02,,,,,,,,
5083,91182214,75,0,1,1,0,44.58,733,93,N,0,PURCHASE,1,SF,1,0,1,0,Investor,1,0,R,0,4.375,626000,281.981982,81.98198198,621000,NY,0.01,0.02,,,,,,,,
5083,91182215,63,0,1,1,0,25.74,636,0,N,0,NO CASH-OUT REFINANCE,0,SF,1,0,1,0,Principal,0,0,C,1,4.25,212000,95.4954955,0,211000,CA,0.01,0.02,,,,,,,,
5083,91182216,75,0,2,0,1,41.55,734,94,N,0,NO CASH-OUT REFINANCE,0,PUD,0,0,1,0,Investor,1,0,R,0,5.125,212000,95.4954955,0,211000,CO,0.01,0.02,,,,,,,,
5083,91182217,72,0,2,0,1,12.7,790,150,N,0,PURCHASE,1,SF,1,0,1,0,Principal,0,0,R,0,4.18,200000,90.09009009,0,83000,AZ,0.01,0.02,,,,,,,,
